Postal Code,Area,District,Latitude,Longitude
21554,Maraka,Matale,7.583300,80.966700
22000,Hatton,Nuwara Eliya,6.891600,80.595500
22002,,Dunukedeniya,7.000000,80.633300
22008,Rozella,Nuwara Eliya,6.931700,80.549500
22010,Watawala,Nuwara Eliya,6.944200,80.537700
22012,Patana,Nuwara Eliya,7.515800,80.682900
22018,Wijebahukanda,Nuwara Eliya,7.011000,80.623800
22021,Maldeniya,Nuwara Eliya,7.027600,80.652000
22024,Hedunuwewa,Nuwara Eliya,7.027600,80.652000
22032,Widulipura,Nuwara Eliya,6.926800,80.488800
22034,Laxapana,Nuwara Eliya,6.926800,80.488800
22036,Morahenagama,Nuwara Eliya,6.926800,80.488800
22040,Kottellena,Nuwara Eliya,6.935900,80.458300
22044,Hangarapitiya,Nuwara Eliya,6.918200,80.472000
22046,Hitigegama,Nuwara Eliya,6.953600,80.444600
22050,Dikoya,Nuwara Eliya,6.871300,80.600000
22058,Norwood,Nuwara Eliya,6.837700,80.607900
22060,Bogawantalawa,Nuwara Eliya,6.799400,80.665000
22070,Maskeliya,Nuwara Eliya,6.834300,80.567600
22075,Nissanka Uyana,Nuwara Eliya,6.834300,80.567600
22080,Kotagala,Nuwara Eliya,6.928400,80.606100
22090,Lindula,Nuwara Eliya,6.921700,80.685000
22094,Agarapathana,Nuwara Eliya,6.921700,80.685000
22095,Bopattalawa,Nuwara Eliya,6.921700,80.685000
22096,Dayagama Bazaar,Nuwara Eliya,6.921700,80.685000
22100,Talawakele,Nuwara Eliya,6.937100,80.658100
22110,Watagoda,Nuwara Eliya,6.970400,80.649300
22120,Pundaluoya,Nuwara Eliya,7.015100,80.669700
22150,Nanuoya,Nuwara Eliya,6.974200,80.659000
22200,Nuwara Eliya,Nuwara Eliya,6.970800,80.782900
22202,Santhipura,Nuwara Eliya,6.970800,80.782900
22208,Haggala,Nuwara Eliya,6.970800,80.782900
22212,Ruwaneliya,Nuwara Eliya,6.873000,80.810600
22214,Mipilimana,Nuwara Eliya,6.873000,80.810600
22216,Ambewela,Nuwara Eliya,6.873000,80.810600
22220,Kandapola,Nuwara Eliya,6.989400,80.812700
22226,Gonakele,Nuwara Eliya,7.056800,80.807400
22240,Halgranoya,Nuwara Eliya,7.048600,80.889800
22245,Rupaha,Nuwara Eliya,7.036000,80.904000
22246,Kumbukwela,Nuwara Eliya,7.061200,80.875700
22250,Udapussallawa,Nuwara Eliya,7.030800,80.910500
